,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,These gloves can convert sign language into spoken English
-9216926795620865886,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,Portugal runs for four days straight on renewable energy alone,Mycroft: The open source answer to natural language platforms,Design Patterns: Progressive Disclosure for Mobile Apps
-9194572880052200111,"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Nova pulseira tecnológica avisa se você já bebeu demais
-9192549002213406534,Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released,Google's Hangouts still has a future: as an enterprise communication app,Google is quietly making progress on one of its most jaw-dropping tech projects,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil"
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Bolinho de parmesão,"Agility in the Cloud: Which ""As a Service"" Works for You?",Perfect Menu for Mobile Apps - UX Planet,Writing good code: how to reduce the cognitive load of your code,Today in Apple history: Steve Jobs passes away | Cult of Mac
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Unilever Buys Dollar Shave Club for $1 Billion,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,AI Revolution 101 - AI Revolution
-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?,How Mature is Your Organization when it Comes to UX?,Sete Reinos
-9160910454530522563,"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man,19 Tips For Everyday Git Use
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Optimize Your Agile Growth Strategy with Cloud
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",7 Questions to Ask Before Your Next Digital Transformation
